0.023854	0.188744	0.034224	0.391815	0.024183	0.468634	0.527022	0.107775	0.526419	0.338611	0.313021	0.283343	0.444203	0.550705	1.000000
0.026218	0.237183	0.044125	0.415984	0.023952	0.430614	0.531965	0.213200	0.528639	0.288083	0.270931	0.308872	0.484268	0.620777	0.000000
0.017035	0.274130	0.043255	0.411673	0.023303	0.415317	0.503295	0.256983	0.527885	0.254746	0.303826	0.327229	0.424406	0.694901	1.000000
0.015510	0.192313	0.037867	0.406416	0.028542	0.459817	0.493478	0.212711	0.572130	0.384827	0.369571	0.330348	0.476428	0.539839	1.000000
0.014472	0.180214	0.028948	0.384778	0.020011	0.678622	0.474297	0.225413	0.439531	0.373645	0.343137	0.353415	0.442562	0.451206	1.000000
0.006925	0.246873	0.001219	0.456869	0.021634	0.729158	0.480935	0.336220	0.392673	0.314788	0.354594	0.324732	0.388957	0.553837	1.000000
0.016813	0.166864	0.027461	0.038090	0.013290	0.762978	0.478227	0.316272	0.289074	0.325709	0.374038	0.268369	0.416730	0.500080	2.000000
0.017619	0.207657	0.035517	0.054639	0.016396	0.821385	0.521246	0.353811	0.153448	0.380341	0.376627	0.270649	0.427941	0.466941	1.000000
0.047955	0.018157	0.030922	0.177850	0.029281	0.806088	0.558306	0.334597	0.221195	0.324344	0.361579	0.259687	0.440432	0.568912	1.000000
0.055167	0.011482	0.040824	0.078093	0.023210	0.859406	0.605968	0.346669	0.247456	0.309012	0.412874	0.232126	0.436313	0.542221	1.000000
0.038396	0.056215	0.049132	0.047082	0.013800	0.883964	0.621647	0.320114	0.280723	0.312340	0.466167	0.272293	0.451186	0.487619	2.000000
0.031868	0.025528	0.037723	0.043744	0.016164	0.046804	0.670222	0.283154	0.185783	0.392318	0.528147	0.293497	0.538519	0.509125	2.000000
0.027590	0.039667	0.040170	0.062426	0.017091	0.076007	0.690171	0.293757	0.375533	0.368225	0.600527	0.301533	0.385521	0.661258	0.000000
0.024146	0.059367	0.032430	0.061684	0.012548	0.210900	0.738101	0.315023	0.388328	0.341280	0.637638	0.309217	0.333352	0.647796	1.000000
0.018403	0.081339	0.039494	0.057233	0.008840	0.927547	0.737460	0.312914	0.367906	0.325702	0.627788	0.325325	0.453344	0.611526	1.000000
0.013531	0.081570	0.040996	0.099417	0.008562	0.226197	0.772514	0.200865	0.261653	0.434134	0.638452	0.348366	0.529419	0.570884	1.000000
0.021467	0.091026	0.029612	0.091443	0.007820	0.134879	0.771717	0.252969	0.363854	0.412014	0.664119	0.384720	0.472055	0.597600	1.000000
0.019882	0.092742	0.027414	0.144939	0.016952	0.496920	0.786186	0.306776	0.359146	0.373929	0.653827	0.380913	0.442566	0.628380	1.000000
0.021383	0.039989	0.014546	0.047176	0.010184	0.430169	0.752484	0.290886	0.373836	0.343878	0.628346	0.368573	0.467476	0.596974	1.000000
